medio,titulo,fecha,categoria_original,texto,url
La Prensa,Miambiente dice que desconocía sobre el traslado de reos a la isla Coiba,2026-06-15,sociedad,"El Ministerio de Ambiente (MiAmbiente) aclaró este domingo que el traslado de 29 privados de libertad de alta peligrosidad a instalaciones del Servicio Nacional Aeronaval (Senan), en la isla Coiba, se realizó bajo est...",https://www.prensa.com/sociedad/miambiente-dice-que-desconocia-sobre-el-traslado-de-reos-a-la-isla-coiba/
La Prensa,Sismo de magnitud 4.2 sacude el sur de Coiba y activa réplicas en el occidente panameño,2026-05-02,sociedad,"Un sismo de magnitud 4.2 estremeció el sector sur de Panamá este sábado 2 de mayo, sin que se reportaran hasta el momento daños estructurales ni víctimas, informó el Instituto de Geociencias de la Universidad de Panam...",https://www.prensa.com/sociedad/sismo-de-magnitud-42-sacude-el-sur-de-coiba-y-activa-replicas-en-el-occidente-panameno/
La Prensa,Coiba recibe a 29 reclusos de alta peligrosidad tras alertas de actividades ilícitas desde Punta Coco,2026-06-14,judiciales,"Las autoridades panameñas trasladaron a 29 privados de libertad calificados como de alta peligrosidad hacia el centro penitenciario ubicado en la estación aeronaval Teniente Nelson Tenas, en la isla Coiba....",https://www.prensa.com/judiciales/trasladan-a-29-reos-de-alta-peligrosidad-a-centro-penitenciario-en-isla-coiba/
La Prensa,Miambiente rechaza reapertura de cárcel en Coiba por ilegal y violar normas ambientales,2026-06-14,sociedad,"El Ministerio de Ambiente (Miambiente) se opuso formalmente a la posible reapertura del centro penitenciario en la isla Coiba, al considerar que la propuesta es “ilegal, improcedente y contraria al interés del Estado”...",https://www.prensa.com/sociedad/miambiente-rechaza-reapertura-de-carcel-en-coiba-por-ilegal-y-violar-normas-ambientales/
La Prensa,"Traslado de 29 reclusos a Coiba reabre debate legal, ambiental y penitenciario",2026-06-15,politica,"Helicópteros, policías con armas largas, caravanas de vehículos de uso táctico y reclusos esposados que caminaban con la cabeza baja. Los rostros de las autoridades en primer plano....",https://www.prensa.com/politica/traslado-de-29-reclusos-a-coiba-reabre-debate-legal-ambiental-y-penitenciario/
La Prensa,Cepanim: Así inició la entrega masiva en la provincia de Panamá,2026-06-15,sociedad,El Ministerio de Economía y Finanzas (MEF) inició oficialmente este lunes la entrega masiva de los Certificados de Pago Negociables por Interés por Mora (Cepanim) en el centro comercial Megapolis Outlets Panamá (antig...,https://www.prensa.com/sociedad/cepanim-inicia-entrega-masiva-en-la-provincia-de-panama/
La Prensa,Romelu Lukaku salva un punto en 14 segundos,2026-06-15,deportes,"En tan solo 14 segundos sobre el terreno, en el minuto 66, Romelu Lukaku acudió al rescate de Bélgica, con la ambición, la potencia y el espíritu de resiliencia del máximo goleador de la historia de la selección de su...",https://www.prensa.com/deportes/romelu-lukaku-salva-un-punto-en-14-segundos/
La Prensa,Licitación del Meduca para compra de laptops vuelve a quedar desierta,2026-06-15,sociedad,"La Comisión Verificadora designada por el Ministerio de Educación (Meduca) recomendó, por segunda vez, declarar desierta la licitación pública para la compra de 531,250 computadoras portátiles destinadas a estudiantes...",https://www.prensa.com/sociedad/licitacion-del-meduca-para-compra-de-laptops-vuelve-a-quedar-desierta/
La Prensa,"‘Sube La Marea (Remix)’ y Los Rabanes entran en la lista de las mejores canciones del Mundial 2026, según Billboard",2026-06-14,vivir,"Panamá sigue dando de qué hablar en la Copa Mundial 2026, no solo por lo que ocurre dentro de la cancha, sino también por su aporte musical....",https://www.prensa.com/vivir/sube-la-marea-remix-y-los-rabanes-entran-en-la-lista-de-las-mejores-canciones-del-mundial-2026-segun-billboard/
La Prensa,"Lexus Panamá presenta el nuevo Lexus RZ, su primer SUV 100% eléctrico en el país",2026-06-15,cerokm,"Lexus Panamá marca un nuevo capítulo en la experiencia de conducción premium con la llegada del nuevo Lexus RZ, el primer SUV 100% eléctrico de la marca en el país. Presentado oficialmente en su sede de Santa María Bu...",https://www.prensa.com/cerokm/lexus-panama-presenta-el-nuevo-lexus-rz-su-primer-suv-100-electrico-en-el-pais/
