,cantidad_palabras,criticidad,sentimiento,medio_La Prensa,medio_TVN,medio_Telemetro,categoria_original_contenido-exclusivo,categoria_original_deportes,categoria_original_economia,categoria_original_entretenimiento,categoria_original_mundo,categoria_original_nacionales,categoria_original_otro,categoria_original_politica,categoria_original_salud,categoria_original_tecnologia,anio,mes
137,701,0,-0.85,0,1,0,0,0,0,1,0,0,0,0,0,0,2026,7
138,399,10,-0.5,0,1,0,0,0,0,1,0,0,0,0,0,0,2026,7
139,504,4,-0.8,0,1,0,0,0,0,1,0,0,0,0,0,0,2026,7
140,617,27,-1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,2026,7
141,627,0,-0.85,0,1,0,0,0,0,1,0,0,0,0,0,0,2026,7
142,685,3,0.85,0,1,0,0,0,0,1,0,0,0,0,0,0,2026,7
143,570,28,-0.85,0,1,0,0,0,0,1,0,0,0,0,0,0,2026,7
144,577,0,-0.85,0,1,0,0,0,0,1,0,0,0,0,0,0,2026,7
145,416,18,0.85,0,1,0,0,0,0,1,0,0,0,0,0,0,2026,7
146,599,0,0.85,0,1,0,0,0,0,1,0,0,0,0,0,0,2026,7
147,661,3,-0.85,0,1,0,0,0,0,1,0,0,0,0,0,0,2026,7
148,584,10,-0.85,0,1,0,0,0,0,1,0,0,0,0,0,0,2026,7
149,323,0,-0.85,0,1,0,0,0,0,1,0,0,0,0,0,0,2026,7
150,600,3,0.85,0,1,0,0,0,0,1,0,0,0,0,0,0,2026,7
151,241,0,-0.85,0,1,0,0,0,0,1,0,0,0,0,0,0,2026,7
152,998,10,0.85,0,1,0,0,0,0,1,0,0,0,0,0,0,2026,7
153,544,31,0.85,0,1,0,0,0,0,1,0,0,0,0,0,0,2026,7
154,677,3,-0.85,0,1,0,0,0,0,1,0,0,0,0,0,0,2026,7
155,387,0,0.85,0,1,0,0,0,0,1,0,0,0,0,0,0,2026,7
156,342,0,0.85,0,1,0,0,0,0,1,0,0,0,0,0,0,2026,7
157,289,0,-0.85,0,1,0,0,0,0,1,0,0,0,0,0,0,2026,7
158,679,10,0.85,0,1,0,0,0,0,1,0,0,0,0,0,0,2026,7
159,737,39,-0.85,0,1,0,0,0,0,1,0,0,0,0,0,0,2026,7
160,658,0,-0.85,0,1,0,0,0,0,1,0,0,0,0,0,0,2026,7
161,723,16,-0.85,0,1,0,0,0,0,1,0,0,0,0,0,0,2026,7
162,512,14,0.85,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,5
163,467,17,-0.85,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,5
164,435,14,-1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,5
165,388,3,-0.85,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,5
166,310,13,-0.85,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,5
167,179,3,-1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,5
168,474,23,-0.8,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,5
169,759,31,-0.85,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,5
170,423,7,-1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,5
171,474,7,0.85,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,5
172,367,3,-0.85,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,5
173,268,8,-0.85,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,5
174,347,3,0.85,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,5
175,287,0,-1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,5
176,484,3,-0.85,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,5
177,365,10,0.85,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,5
178,162,6,-1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,5
179,344,8,0.85,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,5
180,367,0,-0.8,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,4
181,208,0,-1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,4
182,267,8,1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,4
183,429,14,-0.9,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,4
184,189,7,-0.5,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,4
185,213,0,-0.5,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,4
186,305,0,-1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,4
187,418,14,-0.8,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,4
188,383,0,-0.85,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,3
189,214,0,-0.85,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,3
190,271,6,-1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,3
191,274,17,-0.85,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,3
192,480,14,-0.85,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,3
193,382,10,-0.85,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,3
194,210,17,-0.5,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,3
195,418,6,-0.5,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,3
196,621,14,-1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,3
197,468,23,-0.8,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,3
198,348,0,-0.8,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,3
199,355,6,-1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,3
200,269,13,0.85,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,2
201,475,0,1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,2
202,513,0,0.85,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,7
203,189,0,-0.85,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,7
204,625,7,0.85,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,7
205,726,8,-1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,7
206,447,6,0.85,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,7
207,517,0,-0.8,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,7
208,512,0,-0.8,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,7
209,577,8,-0.85,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,7
210,482,3,-0.95,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,7
211,634,0,0.8,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,7
212,189,0,-0.85,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,7
213,387,6,0.85,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,7
214,738,5,-0.85,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,7
215,516,10,-0.85,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,7
216,584,7,0.85,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,7
217,417,0,-0.85,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,7
218,517,0,-1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,7
219,565,23,-1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,7
220,356,10,-1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,7
221,468,28,0.95,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,7
222,759,10,0.85,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,7
223,357,7,0.85,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,7
224,451,6,0.8,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,7
225,589,0,-0.8,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,7
226,272,0,0.85,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,7
227,972,20,0.85,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,7
228,338,6,0.5,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,7
229,505,17,-0.8,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,7
230,618,5,0.85,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,7
231,375,0,1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,7
232,468,16,0.85,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,7
233,642,17,-1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,7
234,528,0,-1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,7
235,359,7,-0.85,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,7
236,550,16,-0.85,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,7
237,340,0,0.85,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,7
238,548,0,0.8,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,7
239,692,12,-0.85,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,6
240,346,14,0.95,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,6
241,475,0,-0.85,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,6
242,277,0,-0.8,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,7
243,243,0,0.85,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,7
244,268,0,0.8,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,7
245,234,0,0.85,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,7
246,305,0,-0.85,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,6
247,268,0,-0.8,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,6
248,168,6,-0.5,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,6
249,185,0,0.85,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,6
250,211,0,0.85,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,6
251,181,0,-0.85,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,6
252,494,10,-0.85,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,5
253,221,8,-0.85,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,5
254,429,0,0.85,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,5
255,405,0,-0.85,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,5
256,303,0,-0.5,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,5
257,318,0,-0.85,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,5
258,434,0,-0.8,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,5
259,389,0,-0.85,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,5
260,275,6,-1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,5
261,246,0,-1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,5
262,292,0,-0.5,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,5
263,245,0,-0.5,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,5
264,300,0,-0.85,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,5
265,363,8,0.85,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,5
266,515,10,0.8,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,4
267,223,0,0.5,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,4
268,331,8,-1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,4
269,560,0,-0.8,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,4
270,200,0,0.85,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,4
271,291,0,-1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,4
272,468,8,0.85,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,4
273,472,0,0.85,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,4
274,279,0,-0.85,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,4
275,372,0,-0.8,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,4
276,296,0,-1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,4
277,278,0,0.8,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,4
278,352,0,-0.85,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,4
279,511,0,-0.85,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,4
280,472,0,0.8,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,4
281,538,0,-0.8,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,4
282,391,0,-0.85,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,7
283,311,0,-0.85,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,6
284,232,0,-0.5,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,6
285,470,0,-0.85,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,6
286,306,0,0.85,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,6
287,343,0,-0.8,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,6
288,16,0,-1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,6
289,330,18,0.85,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,6
290,178,0,0.85,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,6
291,264,0,-0.85,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,6
292,137,0,-0.5,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,6
293,593,0,-0.5,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,5
294,388,6,-0.85,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,5
295,304,0,-0.8,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,5
296,412,0,-0.85,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,5
297,209,0,-0.8,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,5
298,274,6,-0.8,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,5
299,166,10,-1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,5
300,225,0,-0.85,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,5
301,180,0,-1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,5
302,152,0,-1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,5
303,362,0,-0.8,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,5
304,460,0,-0.7,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,5
305,377,0,0.85,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,5
306,323,8,-0.85,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,5
307,404,0,-0.8,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,7
308,206,6,0.85,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,7
309,664,0,0.85,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,7
310,376,0,-0.95,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,7
311,339,0,-0.85,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,7
312,618,0,0.85,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,7
313,325,0,0.8,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,7
314,401,6,-0.85,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,7
315,627,19,-0.5,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,7
316,230,0,-1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,7
317,256,6,-0.8,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,7
318,654,10,-1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,6
319,251,0,0.85,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,6
320,598,0,0.85,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,6
321,124,0,-0.8,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,6
322,652,6,-0.8,0,1,0,0,1,0,0,0,0,0,0,0,0,2026,6
323,335,0,0.8,0,1,0,0,0,0,0,0,1,0,0,0,0,2026,6
